id,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-0.260647805,-0.46964845,2.496266083,-0.083723913,0.129681236,0.73289825,0.519013618,-0.130006048,0.727159269,0.637734541,-0.98702001,0.2934381,-0.941386125,0.549019894,1.804878578,0.215597994,0.512306661,0.333643717,0.124270156,0.091201899,-0.11055168,0.217606144,-0.134794495,0.165959115,0.126279976,-0.434823981,-0.081230109,-0.151045486,17982.1,0
1,0.985099734,-0.356045093,0.558056351,-0.429653903,0.277140263,0.428604515,0.406466042,-0.133118274,0.347451895,0.529807984,0.140107331,1.564245768,0.574074012,0.627718737,0.706121327,0.789188365,0.403809882,0.201799372,-0.340687099,-0.233984156,-0.194935964,-0.605760906,0.079469076,-0.577394874,0.190089708,0.296502704,-0.248052059,-0.064511923,6531.37,0
2,-0.260271613,-0.949384607,1.728537776,-0.457986289,0.074061654,1.419481143,0.743511075,-0.095576013,-0.261296619,0.6907078,-0.272984925,0.659200664,0.805173189,0.616874386,3.069024774,-0.577513522,0.886525968,0.239441661,-2.366078928,0.36165231,-0.005020278,0.702906385,0.945045491,-1.154665629,-0.605563661,-0.312894548,-0.300258035,-0.244718229,2513.54,0
3,-0.152152102,-0.508958708,1.746840059,-1.090177942,0.249485773,1.143312263,0.518268573,-0.065129917,-0.205697605,0.57523071,-0.75258096,0.737482957,0.592993668,0.559534989,-0.697663715,-0.030668984,0.242629166,2.178616,-1.34506023,-0.378223348,-0.146927137,-0.038212458,-0.21404819,-1.893131105,1.003963106,-0.515950259,-0.16531649,0.048423626,5384.44,0
4,-0.206819521,-0.165280204,1.527052678,-0.448292663,0.106125114,0.530548862,0.658849134,-0.212660011,1.049920839,0.968046108,-1.203171107,1.029577424,1.439310226,0.241453999,0.153007854,0.224538129,0.366466196,0.291781553,0.445316709,0.247237013,-0.106984018,0.729727387,-0.161665704,0.31256101,-0.414116194,1.071125586,0.023711599,0.419117267,14278.97,1
5,0.025302292,-0.140513811,1.191137773,-0.707978812,0.430490321,0.458973192,0.611049587,-0.092628606,0.180811357,0.45178842,0.036071305,0.877238898,-0.289721143,0.630992452,0.56020086,0.741131551,0.421766319,0.362503889,-0.242748847,-0.076400297,-0.187739355,-0.538518113,-0.050464986,-0.631553062,-0.456479962,0.25266987,0.06668093,0.095811507,6901.49,1
6,1.016481734,-0.397180539,0.49786769,-0.144462794,0.331021824,0.629242769,0.431262449,-0.134007452,0.796159029,0.557014661,-1.735015952,0.523424766,-0.693621723,0.796567128,0.011267594,0.228270034,0.441583859,-0.03292759,-0.253447374,-0.390342618,-0.171137288,-0.287017061,-0.17819669,-1.29759715,1.182502884,-0.604227947,-0.198163307,-0.087619339,18954.45,0
7,-0.051306085,-0.007194479,1.1399409,-0.877879902,0.684667783,0.714326111,0.892615116,-0.908409142,0.901938334,1.258025378,-1.039421346,0.822748561,1.853520977,0.17663708,0.769513902,0.42040335,0.112419206,0.101155507,0.058924621,-0.324757932,0.620676249,-0.920425716,0.034660376,-1.091526763,-0.742074798,-0.104862684,-1.382521765,-2.748267826,12298.23,1
8,-0.13068043,-0.349546897,0.42578634,-0.760444058,1.702777431,2.324816017,0.56896842,0.049099675,0.273117718,0.437517912,-1.107171842,0.548485169,-0.216077532,0.742616389,-0.394408337,0.345912885,0.291579808,0.397062605,0.259345104,-0.109163816,-0.132787374,-0.284700419,-0.227778825,2.248754184,0.534846027,-0.92973825,-0.224384854,0.243789808,22052.9,1
9,0.058419399,-0.093506892,1.117270141,-0.735171762,0.46611117,0.332371394,0.683424727,-0.136674273,0.096409445,0.45346863,-0.096411674,1.316902402,1.097693277,0.491384468,0.124451432,1.018495752,0.280403731,0.668090731,0.163293593,0.043428301,-0.203634353,-0.601580958,-0.145082252,-0.654782673,-0.196620797,0.226818254,0.057119077,0.100629267,210.35,0
